user_id,announce_time,location,authenticated_flag,type,forward_num,comment_num,sum,interact_id,interact_content,original_content
3168588664,2019/9/25 13:05,福建,非认证,原创,1,0,1, ,“警察表面上维持治安，实际上却与黑帮暗中勾结，至市民生死于不顾，真是...”。香港某中学就是这样通过考试把学生逐步培养成废青，黄尸很懂得思想教育要从娃娃抓起 ?, 
5475670809,2019/9/25 13:07,山东,认证,原创,1,12,13, ,【#日本盗版漫画网运营人被捕#，损害作者利益达3000亿日元！[话筒]】 据9月25日NHK报道，日本盗版网站“漫画村”的前经营者星野路实（27岁）于9月24日因涉嫌侵犯著作权法被捕。据日本海外流通促进机构计算，盗版漫画网站侵害《海贼王》等人气漫画原作者版权利益达约3000亿日元。目前星野不接受指控。http://t.cn/AinSEdnw, 
5313547719,2019/9/25 13:07,其他,非认证,转发,0,5,5,1760453153,//@甜崽崽_:转发微博,#微博名字后面有个国旗#转发名字后面出现国旗和紫荆花旗???????? ???? ?? ???? ?? ????? ??????? #香港是中国的香港##微信国旗头像# ? ???  ?  ?  ? ???
1922058527,2019/9/25 13:09,上海 普陀区,认证,转发,2,0,2,2122523615,那个说北方工业和HK公司合作的416到底是不是真的… //@PUYELeonV3:hhhhhh,70周年大阅兵倒计时6??天！03式步枪的弹匣卡笋短小，距扳机护圈太近，用手掌小鱼际肌按压时不方便 ?
2020604851,2019/9/25 13:17,海外 美国,非认证,转发,2,0,2,1504328683,不仅仅是体育好//@老赵: 香港记者真是太专业了 [嘻嘻] //@ShiningRay: 转发微博,被暴徒打伤的受害者：“我看到社会变成现在这个样子我想死”。黄尸记者：“先生，你想死为什么不去自杀？”这也叫记者？[怒] http://t.cn/Ain65NNT ?
2259696655,2019/9/25 13:52,其他,非认证,原创,1,1,2, ,金宵大厦看了两秒就被劝退 最害怕香港灵异 我着实怂包 ?, 
1964994087,2019/9/25 13:54,辽宁 本溪,认证,转发,1,0,1,2386798841,【你有没有过#为祖国热泪盈眶的瞬间#？】,【你有没有过#为祖国热泪盈眶的瞬间#？】那一年，香港回归，百年耻辱一朝雪洗；那一年，汶川大地震，我们生死不离，生生不息；那一年，北京奥运，精彩纷呈无与伦比；那一年，中国成功实现载人航天，让人内心澎湃不已…#30天表白祖国#那些记忆中的感动，你还珍藏着吗？  http://t.cn/AinMD5IY ???
6437727426,2019/9/25 14:16,江苏,非认证,原创,47,222,269, ,搞一搞hkgg VS bwgg希望不要没人理我！我想康康大家都支持哪个金瓜！[求关注][求关注][求关注] http://t.cn/AinoRJvO ?, 
2755408200,2019/9/25 14:20,上海,认证,原创,0,4,4, ,#影评#据香港媒体报道，无线重头剧《金枝欲孽2》收视平平，主角邓萃雯被指“跳船”对宣传置之不理，无线更因此对她进行“封杀”。邓萃雯昨晚在微博首次开腔，还抛圣经写道：“为义受逼迫的人有福了，因为天国是他们的！”像是为连日的抑压抒发感情。 ?, 
6389419854,2019/9/25 14:21,浙江,非认证,原创,5,12,17, ,揭“死者名单”，全造假。。。#守护香港 止暴制乱# ????#央视主播告诉你爱国最好的打开方式# ?, 
